id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
UG20590201,Agule,Agule,agule,UG20590201,1.293,33.72
UG20590202,Akisim,Akisim,akisim,UG20590202,1.273,33.758
UG20590203,Apopong,Apopong,apopong,UG20590203,1.237,33.667
UG20590204,Chelekura,Chelekura,chelekura,UG20590204,1.303,33.666
UG20590205,Gogonyo,Gogonyo,gogonyo,UG20590205,1.261,33.559
UG20590206,Kameke,Kameke,kameke,UG20590206,1.28,33.8
UG20590207,Kamuge,Kamuge,kamuge,UG20590207,1.185,33.827
UG20590208,Kasodo,Kasodo,kasodo,UG20590208,1.138,33.648
UG20590209,Olok,Olok,olok,UG20590209,1.183,33.621
UG20590210,Pallisa,Pallisa,pallisa,UG20590210,1.205,33.726
UG20590211,Pallisa Town Council,Pallisa Town Council,pallisa-town-council,UG20590211,1.162,33.721
UG20590212,Puti-Puti,Puti-Puti,puti-puti,UG20590212,1.135,33.774
