id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
UG41110101,Burora,Burora,burora,UG41110101,1.098,30.885
UG41110102,Bwikara,Bwikara,bwikara,UG41110102,0.951,30.683
UG41110103,Kabamba,Kabamba,kabamba,UG41110103,1.001,31.021
UG41110104,Kagadi,Kagadi,kagadi,UG41110104,0.888,30.854
UG41110105,Kagadi Town Council,Kagadi Town Council,kagadi-town-council,UG41110105,0.941,30.815
UG41110106,Kiryanga,Kiryanga,kiryanga,UG41110106,1.081,31.074
UG41110107,Kyakabadiima,Kyakabadiima,kyakabadiima,UG41110107,1.045,30.849
UG41110108,Kyanaisoke,Kyanaisoke,kyanaisoke,UG41110108,0.941,30.912
UG41110109,Kyaterekera,Kyaterekera,kyaterekera,UG41110109,0.971,30.583
UG41110110,Kyenzige,Kyenzige,kyenzige,UG41110110,0.985,30.87
UG41110111,Mabaale,Mabaale,mabaale,UG41110111,1,30.94
UG41110112,Mabaale Town Council,Mabaale Town Council,mabaale-town-council,UG41110112,1.035,30.922
UG41110113,Mpeefu,Mpeefu,mpeefu,UG41110113,1.053,30.693
UG41110114,Muhorro,Muhorro,muhorro,UG41110114,0.87,30.782
UG41110115,Muhorro Town Council,Muhorro Town Council,muhorro-town-council,UG41110115,0.913,30.764
UG41110116,Ndaiga,Ndaiga,ndaiga,UG41110116,1.087,30.597
UG41110117,Paacwa,Paacwa,paacwa,UG41110117,1.076,30.989
UG41110118,Rugashari,Rugashari,rugashari,UG41110118,1.087,30.811
UG41110119,Ruteete,Ruteete,ruteete,UG41110119,1.013,30.802
